#9606	10090	10116	9615
NM_000014	NM_175628	NM_012488	XM_534893
NM_001523	NM_008215	NM_172323	XM_849398
NM_005328	NM_008216	NM_013153	XM_539153
NM_005329	NM_008217	NM_172319	XM_546859
NM_003218	NM_009352	NM_001012464	XM_003433664
